Item name,SKU,Category,Items sold,Gross sales,Items refunded,Refunds,Discounts,Net sales,Cost of goods,Gross profit,Margin,Taxes
20 meters hdmi no warranty,10328,Cables & wirings,4.000,2573.00,0.000,0.00,0.00,2573.00,1800.00,773.00,30.04%,65.24
200HZ 27 INCHES N-VISION EG27F1 PRO GAMING MONITOR,10311,Monitors & TV,4.000,32099.00,0.000,0.00,0.00,32099.00,27160.00,4939.00,15.39%,0.00
22 inch led monitor mitsubishi,10482,Monitors & TV,1.000,2280.00,0.000,0.00,0.00,2280.00,1420.00,860.00,37.72%,0.00
22 inch nvision frameless,10099,No category,5.000,17446.00,1.000,3450.00,0.00,13996.00,12600.00,1396.00,9.97%,0.00
22 inches 75hz nvision ip22v3 ips (Discount),10367,No category,10.000,29994.00,0.000,0.00,0.00,29994.00,9996.00,19998.00,66.67%,0.00
22 inches 75hz nvision ip22v3 ips (Discount),10367,No category,7.000,21700.00,0.000,0.00,0.00,21700.00,17493.00,4207.00,19.39%,0.00
22 inches 75hz nvision ip22v3 ips (Ws),10741,No category,1.000,2900.00,0.000,0.00,0.00,2900.00,2499.00,401.00,13.83%,0.00
22 inches aoc customized stand 7d warranty,10297,No category,2.000,4499.00,0.000,0.00,0.00,4499.00,2600.00,1899.00,42.21%,0.00
22 inches dell led japan surplus monitor,10362,No category,4.000,6840.00,0.000,0.00,495.00,6345.00,5650.44,694.56,10.95%,490.05
22 inches hp led surplus monitor,10360,No category,4.000,6600.00,0.000,0.00,0.00,6600.00,5650.44,949.56,14.39%,0.00
22 inches io-data led japan surplus monitor slim type (black),10419,No category,19.000,31680.68,1.000,1650.00,1422.48,28608.20,25414.37,3193.83,11.16%,1552.40
22 inches nvision H22V9 led monitor (Discount),10739,No category,19.000,49270.79,0.000,0.00,1454.43,47816.36,39070.84,8745.52,18.29%,1983.31
24 inches io-data dual hdmi 7d warranty,10369,Monitors & TV,2.000,5600.00,0.000,0.00,0.00,5600.00,3998.00,1602.00,28.61%,0.00
24 inches lukoms surplus korean led,10278,Monitors & TV,6.000,13000.00,0.000,0.00,800.00,12200.00,9600.00,2600.00,21.31%,792.00
24 inches N2455 pro nvision 100hz ips white & black (black),10459,best seller,26.000,119127.00,0.000,0.00,0.00,119127.00,88246.60,30880.40,25.92%,495.00
